"V1" "V2" "V3" "V4" "V5" "V6"
"587" "135" "68.5" "65" "F" "61.5" "8"
"588" "135" "68.5" "65" "F" "61" "8"
"589" "135" "68.5" "65" "F" "60" "8"
"590" "136" "68" "64" "M" "71" "10"
"591" "136" "68" "64" "M" "68" "10"
"592" "136" "68" "64" "M" "68" "10"
"593" "136" "68" "64" "M" "67" "10"
"594" "136" "68" "64" "F" "65" "10"
"595" "136" "68" "64" "F" "64" "10"
"596" "136" "68" "64" "F" "63" "10"
"597" "136" "68" "64" "F" "63" "10"
"598" "136" "68" "64" "F" "62" "10"
"599" "136" "68" "64" "F" "61" "10"
"600" "137" "68" "64" "M" "66" "4"
"601" "137" "68" "64" "M" "63" "4"
"602" "137" "68" "64" "F" "65.5" "4"
"603" "137" "68" "64" "F" "62" "4"
"604" "138" "68" "64" "M" "71.2" "5"
"605" "138" "68" "64" "M" "71.2" "5"
"606" "138" "68" "64" "M" "69" "5"
"607" "138" "68" "64" "M" "68.5" "5"
"608" "138" "68" "64" "F" "62.5" "5"
"609" "139" "68" "64.5" "F" "62" "1"
"610" "140" "68" "64" "M" "69" "10"
"611" "140" "68" "64" "M" "67" "10"
"612" "140" "68" "64" "M" "66" "10"
"613" "140" "68" "64" "F" "66" "10"
"614" "140" "68" "64" "F" "66" "10"
"615" "140" "68" "64" "F" "65" "10"
"616" "140" "68" "64" "F" "65" "10"
"617" "140" "68" "64" "F" "65" "10"
"618" "140" "68" "64" "F" "64" "10"
"619" "140" "68" "64" "F" "63" "10"
"620" "141" "68" "63" "M" "70.5" "8"
"621" "141" "68" "63" "M" "70" "8"
"622" "141" "68" "63" "M" "68" "8"
"623" "141" "68" "63" "M" "66" "8"
"624" "141" "68" "63" "M" "66" "8"
"625" "141" "68" "63" "F" "66" "8"
"626" "141" "68" "63" "F" "62" "8"
"627" "141" "68" "63" "F" "61.5" "8"
"628" "142" "68.5" "63.5" "M" "73.5" "4"
"629" "142" "68.5" "63.5" "M" "70" "4"
"630" "142" "68.5" "63.5" "M" "69.5" "4"
"631" "142" "68.5" "63.5" "F" "65.5" "4"
"632" "143" "68" "63" "M" "67" "1"
"633" "144" "68" "63" "M" "70" "4"
"634" "144" "68" "63" "M" "68" "4"
"635" "144" "68" "63" "F" "64.5" "4"
"636" "144" "68" "63" "F" "64" "4"
"637" "145" "68" "63" "M" "71" "8"
"638" "145" "68" "63" "M" "68" "8"
"639" "145" "68" "63" "M" "66" "8"
"640" "145" "68" "63" "M" "65.5" "8"
"641" "145" "68" "63" "M" "65" "8"
"642" "145" "68" "63" "F" "63" "8"
"643" "145" "68" "63" "F" "62" "8"
"644" "145" "68" "63" "F" "62" "8"
"645" "146" "68" "63" "M" "67" "6"
"646" "146" "68" "63" "M" "67" "6"
"647" "146" "68" "63" "M" "66" "6"
"648" "146" "68" "63" "F" "64" "6"
"649" "146" "68" "63" "F" "63.5" "6"
"650" "146" "68" "63" "F" "61" "6"
"651" "147" "68.5" "63.5" "M" "68.2" "1"
"652" "148" "68" "63" "M" "70" "1"
"653" "149" "68.2" "63.5" "M" "70" "5"
"654" "149" "68.2" "63.5" "M" "69" "5"
"655" "149" "68.2" "63.5" "M" "67" "5"
"656" "149" "68.2" "63.5" "M" "65.5" "5"
"657" "149" "68.2" "63.5" "F" "64.5" "5"
"658" "150" "68" "62.5" "M" "68.5" "1"
"659" "151" "68.7" "62" "M" "67.7" "2"
"660" "151" "68.7" "62" "F" "61.7" "2"
"661" "152" "68" "62.5" "M" "66.5" "1"
"662" "153" "68" "61" "M" "68.5" "5"
"663" "153" "68" "61" "M" "68" "5"
"664" "153" "68" "61" "M" "64" "5"
"665" "153" "68" "61" "F" "63.5" "5"
"666" "153" "68" "61" "F" "63" "5"
"667" "154" "68" "60.2" "M" "66.7" "1"
"668" "155" "68" "60" "M" "64" "7"
"669" "155" "68" "60" "F" "61" "7"
"670" "155" "68" "60" "F" "61" "7"
"671" "155" "68" "60" "F" "60" "7"
"672" "155" "68" "60" "F" "60" "7"
"673" "155" "68" "60" "F" "60" "7"
"674" "155" "68" "60" "F" "56" "7"
"675" "156" "68" "60" "M" "67.5" "4"
"676" "156" "68" "60" "M" "67" "4"
"677" "156" "68" "60" "M" "66.5" "4"
"678" "156" "68" "60" "F" "60" "4"
"679" "157" "68.5" "59" "M" "69" "1"
"680" "158" "68" "59" "M" "68" "10"
"681" "158" "68" "59" "M" "65" "10"
"682" "158" "68" "59" "M" "64.7" "10"
"683" "158" "68" "59" "M" "64" "10"
"684" "158" "68" "59" "M" "64" "10"
"685" "158" "68" "59" "M" "63" "10"
"686" "158" "68" "59" "F" "65" "10"
"687" "158" "68" "59" "F" "65" "10"
"688" "158" "68" "59" "F" "62" "10"
"689" "158" "68" "59" "F" "61" "10"
"690" "159" "67" "66.2" "M" "72.7" "5"
"691" "159" "67" "66.2" "M" "72.7" "5"
"692" "159" "67" "66.2" "M" "71.5" "5"
"693" "159" "67" "66.2" "F" "65.5" "5"
"694" "159" "67" "66.2" "F" "63.5" "5"
"695" "160" "67" "66.5" "M" "71" "1"
"696" "162" "67" "65" "M" "69.7" "6"
"697" "162" "67" "65" "M" "67.5" "6"
"698" "162" "67" "65" "F" "65.5" "6"
"699" "162" "67" "65" "F" "65" "6"
"700" "162" "67" "65" "F" "64.5" "6"
"701" "162" "67" "65" "F" "63.5" "6"
"702" "163" "67" "65.5" "M" "70" "5"
"703" "163" "67" "65.5" "M" "69" "5"
"704" "163" "67" "65.5" "F" "65.5" "5"
"705" "163" "67" "65.5" "F" "65.5" "5"
"706" "163" "67" "65.5" "F" "63" "5"
"707" "164" "67" "65.5" "M" "70" "4"
"708" "164" "67" "65.5" "M" "67.7" "4"
"709" "164" "67" "65.5" "F" "63" "4"
"710" "164" "67" "65.5" "F" "60" "4"
"711" "165" "67" "65" "M" "65" "3"
"712" "165" "67" "65" "F" "62" "3"
"713" "165" "67" "65" "F" "62" "3"
"714" "166" "67.5" "65" "M" "71" "11"
"715" "166" "67.5" "65" "M" "69" "11"
"716" "166" "67.5" "65" "F" "64" "11"
"717" "166" "67.5" "65" "F" "64" "11"
"718" "166" "67.5" "65" "F" "63" "11"
"719" "166" "67.5" "65" "F" "63" "11"
"720" "166" "67.5" "65" "F" "63" "11"
"721" "166" "67.5" "65" "F" "63" "11"
"722" "166" "67.5" "65" "F" "63" "11"
"723" "166" "67.5" "65" "F" "62.5" "11"
"724" "166" "67.5" "65" "F" "62" "11"
"725" "167" "67" "64" "M" "71.5" "4"
"726" "167" "67" "64" "M" "70" "4"
"727" "167" "67" "64" "M" "67" "4"
"728" "167" "67" "64" "M" "67" "4"
"729" "168" "67" "63.5" "M" "71" "8"
"730" "168" "67" "63.5" "M" "70.2" "8"
"731" "168" "67" "63.5" "M" "69.2" "8"
"732" "168" "67" "63.5" "M" "68.5" "8"
"733" "168" "67" "63.5" "M" "68" "8"
"734" "168" "67" "63.5" "M" "67" "8"
"735" "168" "67" "63.5" "M" "65.5" "8"
"736" "168" "67" "63.5" "F" "63.5" "8"
"737" "169" "67" "63" "M" "69" "3"
"738" "169" "67" "63" "M" "68" "3"
"739" "169" "67" "63" "F" "63" "3"
"740" "170" "67.5" "62" "M" "70" "5"
"741" "170" "67.5" "62" "M" "69.5" "5"
"742" "170" "67.5" "62" "M" "69" "5"
"743" "170" "67.5" "62" "M" "68.5" "5"
"744" "170" "67.5" "62" "F" "66" "5"
"745" "171" "67" "61" "M" "67" "1"
"746" "172" "66" "67" "M" "70.5" "8"
"747" "172" "66" "67" "M" "70.5" "8"
"748" "172" "66" "67" "M" "67" "8"
"749" "172" "66" "67" "M" "66" "8"
"750" "172" "66" "67" "M" "66" "8"
"751" "172" "66" "67" "F" "62" "8"
"752" "172" "66" "67" "F" "62" "8"
"753" "172" "66" "67" "F" "61.5" "8"
"754" "173" "66" "67" "M" "72" "9"
"755" "173" "66" "67" "M" "65" "9"
"756" "173" "66" "67" "M" "65" "9"
"757" "173" "66" "67" "F" "67" "9"
"758" "173" "66" "67" "F" "64" "9"
"759" "173" "66" "67" "F" "64" "9"
"760" "173" "66" "67" "F" "62" "9"
"761" "173" "66" "67" "F" "60" "9"
"762" "173" "66" "67" "F" "60" "9"
"763" "174" "66" "66" "M" "66" "5"
"764" "174" "66" "66" "M" "65" "5"
"765" "174" "66" "66" "F" "67" "5"
"766" "174" "66" "66" "F" "66.5" "5"
"767" "174" "66" "66" "F" "65.5" "5"
"768" "175" "66" "66" "M" "72" "6"
"769" "175" "66" "66" "M" "68" "6"
"770" "175" "66" "66" "F" "66" "6"
"771" "175" "66" "66" "F" "65" "6"
"772" "175" "66" "66" "F" "62" "6"
"773" "175" "66" "66" "F" "61" "6"
"774" "176" "66.5" "65" "M" "68.7" "8"
"775" "176" "66.5" "65" "M" "68.5" "8"
"776" "176" "66.5" "65" "M" "66.5" "8"
"777" "176" "66.5" "65" "M" "64.5" "8"
"778" "176" "66.5" "65" "F" "62.5" "8"
"779" "176" "66.5" "65" "F" "60.5" "8"
"780" "176" "66.5" "65" "F" "60.5" "8"
"781" "176" "66.5" "65" "F" "57.5" "8"
"782" "177" "66" "65.5" "M" "72" "5"
"783" "177" "66" "65.5" "M" "71" "5"
"784" "177" "66" "65.5" "M" "67" "5"
"785" "177" "66" "65.5" "F" "66" "5"
"786" "177" "66" "65.5" "F" "65" "5"
"787" "178" "66" "63" "M" "70" "1"
"788" "179" "66" "63.5" "F" "64.5" "2"
"789" "179" "66" "63.5" "F" "62" "2"
"790" "180" "66.5" "63" "M" "67.2" "6"
"791" "180" "66.5" "63" "M" "67" "6"
"792" "180" "66.5" "63" "M" "65" "6"
"793" "180" "66.5" "63" "F" "65" "6"
"794" "180" "66.5" "63" "F" "65" "6"
"795" "180" "66.5" "63" "F" "63" "6"
"796" "181" "66.5" "62.5" "M" "70" "7"
"797" "181" "66.5" "62.5" "M" "68" "7"
"798" "181" "66.5" "62.5" "F" "63.5" "7"
"799" "181" "66.5" "62.5" "F" "62.5" "7"
"800" "181" "66.5" "62.5" "F" "62.5" "7"
"801" "181" "66.5" "62.5" "F" "62.5" "7"
"802" "181" "66.5" "62.5" "F" "62.5" "7"
"803" "182" "66" "61.5" "M" "70" "1"
"804" "183" "66" "60" "M" "68" "4"
"805" "183" "66" "60" "M" "67" "4"
"806" "183" "66" "60" "M" "65" "4"
"807" "183" "66" "60" "F" "60" "4"
"808" "184" "66" "60" "M" "65" "1"
"809" "185" "66" "59" "M" "68" "15"
"810" "185" "66" "59" "M" "67" "15"
"811" "185" "66" "59" "M" "66.5" "15"
"812" "185" "66" "59" "M" "66" "15"
"813" "185" "66" "59" "M" "65.7" "15"
"814" "185" "66" "59" "M" "65.5" "15"
"815" "185" "66" "59" "M" "65" "15"
"816" "185" "66" "59" "F" "65" "15"
"817" "185" "66" "59" "F" "64" "15"
"818" "185" "66" "59" "F" "63" "15"
"819" "185" "66" "59" "F" "62" "15"
"820" "185" "66" "59" "F" "61" "15"
"821" "185" "66" "59" "F" "60" "15"
"822" "185" "66" "59" "F" "58" "15"
"823" "185" "66" "59" "F" "57" "15"
"824" "186" "65" "67" "M" "66.5" "4"
"825" "186" "65" "67" "M" "66" "4"
"826" "186" "65" "67" "M" "66" "4"
"827" "186" "65" "67" "F" "65" "4"
"828" "187" "65" "67" "F" "63" "1"
"829" "188" "65" "66" "M" "63" "4"
"830" "188" "65" "66" "F" "63" "4"
"831" "188" "65" "66" "F" "63" "4"
"832" "188" "65" "66" "F" "60" "4"
"833" "190" "65" "65" "M" "69" "9"
"834" "190" "65" "65" "M" "68" "9"
"835" "190" "65" "65" "M" "68" "9"
"836" "190" "65" "65" "F" "65" "9"
"837" "190" "65" "65" "F" "65" "9"
"838" "190" "65" "65" "F" "62" "9"
"839" "190" "65" "65" "F" "62" "9"
"840" "190" "65" "65" "F" "61" "9"
"841" "190" "65" "65" "F" "59" "9"
"842" "191" "65" "65.5" "M" "70.7" "2"
"843" "191" "65" "65.5" "F" "65.5" "2"
"844" "192" "65" "65" "M" "69.2" "6"
"845" "192" "65" "65" "M" "69" "6"
"846" "192" "65" "65" "M" "68" "6"
"847" "192" "65" "65" "M" "67.7" "6"
"848" "192" "65" "65" "F" "64.5" "6"
"849" "192" "65" "65" "F" "60.5" "6"
"850" "193" "65" "64" "M" "67" "6"
"851" "193" "65" "64" "M" "67" "6"
"852" "193" "65" "64" "F" "64" "6"
"853" "193" "65" "64" "F" "64" "6"
"854" "193" "65" "64" "F" "62.5" "6"
"855" "193" "65" "64" "F" "60.5" "6"
"856" "194" "65" "63" "M" "70" "2"
"857" "194" "65" "63" "F" "63" "2"
"858" "195" "65" "63" "M" "66" "3"
"859" "195" "65" "63" "M" "66" "3"
"860" "195" "65" "63" "F" "63" "3"
"861" "196" "65.5" "63" "M" "71" "4"
"862" "196" "65.5" "63" "M" "71" "4"
"863" "196" "65.5" "63" "M" "69" "4"
"864" "196" "65.5" "63" "F" "63.5" "4"
"865" "197" "65.5" "60" "M" "68" "5"
"866" "197" "65.5" "60" "M" "68" "5"
"867" "197" "65.5" "60" "M" "67" "5"
"868" "197" "65.5" "60" "M" "67" "5"
"869" "197" "65.5" "60" "F" "62" "5"
"870" "198" "64" "64" "M" "71.5" "7"
"871" "198" "64" "64" "M" "68" "7"
"872" "198" "64" "64" "F" "65.5" "7"
"873" "198" "64" "64" "F" "64" "7"
"874" "198" "64" "64" "F" "62" "7"
"875" "198" "64" "64" "F" "62" "7"
"876" "198" "64" "64" "F" "61" "7"
"877" "199" "64" "64" "M" "70.5" "7"
"878" "199" "64" "64" "M" "68" "7"
"879" "199" "64" "64" "F" "67" "7"
"880" "199" "64" "64" "F" "65" "7"
"881" "199" "64" "64" "F" "64" "7"
"882" "199" "64" "64" "F" "64" "7"
"883" "199" "64" "64" "F" "60" "7"
"884" "200" "64" "63" "M" "64.5" "1"
"885" "201" "64" "60" "M" "66" "2"
"886" "201" "64" "60" "F" "60" "2"
"887" "203" "62" "66" "M" "64" "3"
"888" "203" "62" "66" "F" "62" "3"
"889" "203" "62" "66" "F" "61" "3"
"890" "204" "62.5" "63" "M" "66.5" "2"
"891" "204" "62.5" "63" "F" "57" "2"
"892" "136A" "68.5" "65" "M" "72" "8"
"893" "136A" "68.5" "65" "M" "70.5" "8"
"894" "136A" "68.5" "65" "M" "68.7" "8"
"895" "136A" "68.5" "65" "M" "68.5" "8"
"896" "136A" "68.5" "65" "M" "67.7" "8"
"897" "136A" "68.5" "65" "F" "64" "8"
"898" "136A" "68.5" "65" "F" "63.5" "8"
"899" "136A" "68.5" "65" "F" "63" "8"
